x^3 + 18*x - 16
x^3 - x^2 - 7*x - 16
x^3 - x^2 - 15*x + 21
x^3 - x^2 - 13*x - 4
x^3 - 23*x - 39
x^3 - x^2 - 20*x - 4
x^3 - 16*x - 18
x^3 - 21*x - 33
x^3 - x^2 + 20*x - 4
x^3 - x^2 - 26*x + 21
x^3 - 15*x - 28
x^3 - 24*x - 42
x^3 - x^2 - 18*x - 19
x^3 - x^2 + 15*x + 21
x^3 - 3*x - 17
x^3 - 8*x - 19
x^3 - 20*x - 30
x^3 - x^2 + 12*x - 11
x^3 - 14*x - 11
x^3 + 17*x - 62
x^3 - x^2 - 14*x + 17
x^3 - x^2 - 3*x + 35
x^3 - 17*x - 21
x^3 - 19*x - 27
x^3 - 2*x - 17
x^3 - x^2 + 11*x - 14
x^3 - x^2 - 25*x - 27
x^3 - 13*x - 6
x^3 - 25*x - 45
x^3 - x^2 - 26*x - 46
x^3 - x^2 - 18*x + 31
x^3 - x^2 - 24*x + 51
x^3 - x^2 - 5*x - 16
x^3 - 20*x - 4
x^3 + 10*x - 32
x^3 - x^2 - 13*x + 12
x^3 - 22*x - 20
x^3 - x^2 - 13*x - 21
x^3 + 12*x - 49
x^3 - 12*x - 54
x^3 - x^2 - 20*x + 46
x^3 - x^2 - 26*x + 3
x^3 - x^2 - 14*x - 7
x^3 - x^2 - 17*x - 16
x^3 - x^2 - 18*x + 52
x^3 - x^2 - 28*x - 46
x^3 - x^2 + 4*x + 68
x^3 + 20*x - 4
x^3 - 13*x - 5
x^3 + 8*x - 15
x^3 + 15*x - 47
x^3 - x^2 + 13*x - 4
x^3 - x^2 + 16*x + 20
x^3 - x^2 - 23*x - 32
x^3 + 17*x - 22
x^3 - 7*x - 70
x^3 - x^2 + 4*x - 36
x^3 - x^2 - 13*x + 30
x^3 - x^2 - 8*x - 17
x^3 - x^2 - 20*x + 12
x^3 - 8*x - 36
x^3 - 5*x - 18
x^3 - 14*x - 10
x^3 - x^2 - 22*x + 28
x^3 - x^2 - 15*x - 10
x^3 - x^2 - 18*x + 41
x^3 - 21*x - 12
x^3 - x^2 - 13*x + 11
x^3 - x^2 - 21*x - 7
x^3 - x^2 - 13*x - 2
x^3 - x^2 + x + 35
x^3 - x^2 - 20*x + 8
x^3 - 53
x^3 - x^2 - 27*x - 43
x^3 - x^2 - 27*x - 33
x^3 - 4*x - 18
x^3 - 27*x - 51
x^3 - 24*x - 28
x^3 - 13*x - 3
x^3 - 27*x - 8
x^3 - x^2 - 9*x + 24
x^3 - x^2 - 23*x - 17
x^3 - x^2 - 17*x + 66
x^3 - 16*x - 17
x^3 + 19*x - 16
x^3 + 11*x - 11
x^3 - x^2 - 22*x - 12
x^3 - x^2 + 9*x + 12
x^3 - x^2 - 17*x + 27
x^3 - x^2 - 13*x + 10
x^3 + 18*x - 45
x^3 - 13*x - 2
x^3 - 4*x - 36
x^3 - x^2 - 13*x - 1
x^3 - 14*x - 27
x^3 - 25*x - 32
x^3 - x^2 + 54
x^3 - 27*x - 1
x^3 - 13*x - 1
x^3 - x^2 + 5*x + 16
x^3 - x^2 - 22*x - 29
x^3 - x^2 - 7*x + 22
x^3 - 14*x - 9
x^3 - 26*x - 36
x^3 - 21*x - 8
x^3 - x^2 + 16*x - 54
x^3 - x^2 - 27*x + 18
x^3 - x^2 - 15*x - 54
x^3 - x^2 - 5*x - 17
x^3 - x^2 - 27*x + 61
x^3 - x^2 - 20*x + 37
x^3 - x^2 - 25*x + 54
x^3 - 22*x - 16
x^3 + 20*x - 12
x^3 + 9*x - 15
x^3 - 9*x - 21
x^3 + 27*x - 9
x^3 + 4*x - 18
x^3 - x^2 + 12*x + 6
x^3 - x^2 - 20*x - 33
x^3 - x^2 + 13*x - 10
x^3 - x^2 - 23*x - 49
x^3 - x^2 - 21*x + 17
x^3 - 18*x - 23
x^3 - x^2 - 23*x + 31
x^3 - x^2 + 3*x + 54
x^3 - x^2 + 8*x - 19
x^3 - x^2 - 16*x + 23
x^3 - 55
x^3 - x^2 - 27*x + 9
x^3 - x^2 + 12*x + 68
x^3 - x^2 - 13*x + 8
x^3 - x^2 - 26*x - 28
x^3 - 21*x - 4
x^3 - 7*x - 74
x^3 - x^2 + 12*x - 76
x^3 - x^2 + 13*x + 2
x^3 - x^2 - 18*x + 30
x^3 - x^2 - 29*x - 39
x^3 - x^2 - 14*x - 5
x^3 - 5*x - 19
x^3 - x^2 - 19*x + 44
x^3 - x^2 + 15*x - 35
x^3 - x^2 - 22*x + 24
x^3 - 20*x - 29
x^3 - x^2 - 30*x + 77
x^3 - x^2 - 13*x + 7
x^3 - x^2 - 21*x - 26
x^3 - 18*x - 63
x^3 - x^2 - 13*x + 2
x^3 - x^2 + 13*x - 11
x^3 - x^2 - 25*x - 37
x^3 - x^2 - 4*x - 36
x^3 - x^2 + 18*x - 54
x^3 - x^2 - 11*x - 20
x^3 - x^2 - 13*x + 6
x^3 + 9*x - 74
x^3 - x^2 - 13*x + 3
x^3 - x^2 + 9*x + 13
x^3 - x^2 - 21*x + 1
x^3 + 13*x - 5
x^3 - 13*x - 26
x^3 - x^2 + x - 19
x^3 - 4*x - 19
x^3 - 22*x - 35
x^3 - x^2 - 16*x + 37
x^3 - 19*x - 37
x^3 - x^2 - 21*x + 40
x^3 - x^2 - 12*x + 63
x^3 - 15*x - 12
x^3 - 3*x - 19
x^3 - 14*x - 7
x^3 - x^2 + 12*x - 15
x^3 - x^2 - 7*x - 18
x^3 - 22*x - 12
x^3 - x^2 - 14*x + 48
x^3 - x^2 - 6*x + 22
x^3 + 18*x - 24
