x^6 - 3*x^5 + 6*x^4 + 95*x^3 - 147*x^2 - 156*x + 2704
x^6 - 138*x^4 - 68*x^3 + 4761*x^2 + 4692*x - 31877
x^6 - 76*x^3 + 684*x^2 - 2508*x + 3743
x^6 - 95*x^3 + 684*x^2 - 570*x + 2375
x^6 - 2*x^5 - 57*x^4 - 22*x^3 + 766*x^2 + 1528*x + 697
x^6 - x^5 + 154*x^4 - 103*x^3 + 8379*x^2 - 2704*x + 160271
x^6 - 3*x^5 + 6*x^4 + 107*x^3 - 165*x^2 - 174*x + 3364
x^6 + 1083
x^6 - 2*x^5 - 48*x^4 + 70*x^3 + 403*x^2 - 336*x - 831
x^6 - 162*x^4 - 80*x^3 + 6561*x^2 + 6480*x - 52649
x^6 - 24*x^4 - 56*x^3 + 549*x^2 + 2184*x + 5158
x^6 - x^5 + 163*x^4 - 109*x^3 + 9357*x^2 - 3025*x + 188327
x^6 - 78*x^4 + 1521*x^2 - 507
x^6 - x^5 - 55*x^4 + 160*x^3 - 20*x^2 - 176*x + 64
x^6 - x^5 - 55*x^4 + 160*x^3 + 246*x^2 - 1107*x + 729
x^6 - x^5 - 96*x^4 + 301*x^3 + 2017*x^2 - 10780*x + 13219
x^6 - 2*x^5 - 45*x^4 + 36*x^3 + 308*x^2 - 304*x - 188
